scene_id,scene_seed,camera,split,condition,server,npz_path,msaa_samples,gt_unit,prediction_unit,metric_calibration,calibration_a,calibration_b,target_pixels_cropped,native_target_pixels,occlusion_type,strong_reflection_verified
scene_977001,977001,topview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977001_topview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.11909493565226427,0.1374411120642805,17706,161065,,False
scene_977001,977001,frontview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977001_frontview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.17528360426776307,-0.020156990641697344,21326,185389,,False
scene_977001,977001,headview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977001_headview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.27871769382468825,-0.0656103880574479,0,0,,False
scene_977001,977001,sideview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977001_sideview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.42173295852372344,-0.08274819644506003,20313,186873,,False
scene_977002,977002,topview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977002_topview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.11909493565226427,0.1374411120642805,17081,162413,,False
scene_977002,977002,frontview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977002_frontview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.17528360426776307,-0.020156990641697344,22025,197743,,False
scene_977002,977002,headview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977002_headview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.27871769382468825,-0.0656103880574479,0,0,,False
scene_977002,977002,sideview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977002_sideview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.42173295852372344,-0.08274819644506003,17408,161630,,False
scene_977003,977003,topview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977003_topview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.11909493565226427,0.1374411120642805,18352,170203,,False
scene_977003,977003,frontview,calibration,nominal,H1,supplementary/depth_no_msaa/calibration_977003_frontview_nominal.npz,0,camera-axis m,relative inverse-depth-like raw output; NOT m,inv_m=a*prediction+b; depth_m=1/inv_m only if inv_m>0,0.17528360426776307,-0.020156990641697344,23150,200523,,False
